category,question,answer
등록,다음 학기에 소속변경 될 예정인데 등록금 고지서가 어떻게 나오는지 알고 싶어요.,"등록금 고지서는 소속변경 된 학과의 등록금으로 고지가 됩니다.

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,계열별 등록금이 나온 등록금 명세표는 어디에서 찾을 수 있나요?,"계열별 등록금 확인은 www.yonsei.ac.kr 접속 → 메뉴상단 ‘대학생활’ → 신촌 : 학사안내 → ‘등록금’ → 각 소속별 등록금 명세표를 확인하면 됩니다.

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,고지서 발송은 언제 되나요?,"직전 학기 재학생의 경우에만 발송이 됩니다. 그러므로 직전 학기 재학하지 않은 경우에는 고지서 발송이 되지 않으니, 학사포탈에서 직접 출력 바랍니다. 학사포탈의 주소가 올바르지 않은 경우에는 고지서가 잘못 발송이 될 수 있으니, 고지서 발송 작업 시작 이전에(매 학기 7월 중순, 1월 중순) 주소를 변경 하면 됩니다. 주소가 올바르게 되어 있다면 등록금 납부 기간 7일~10이전에 받아볼 수 있습니다.

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,등록금 납부 확인서 혹은 교육비 납입증명서 출력이 안돼요!,"간혹 외부에서 학사포탈사이트 접속 시 보안을 위한 방화벽 등의 이유로 팝업창이 뜨지 않을 수 있습니다. 다른 장소에서 출력 바랍니다.

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,등록금 납부 확인서를 영문으로 받아 볼 수 있나요?,"가능합니다. 국문 등록금 납부확인서와 마찬가지로 학사포탈시스템에서 출력하기 전에 영문 출력 버튼을 누르면 영문 등록금 납부 확인서를 인쇄할 수 있습니다.

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,등록금 고지서를 영문으로 받아 볼 수 있나요?,"가능합니다. 학사포탈시스템(http://portal.yonsei.ac.kr)에 접속 후 우측 상단 ‘English’를 선택하여 로그인 하면 고지서가 영문으로 출력됩니다.

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,교육비 납입 증명서와 등록금 납부 확인서는 같은 것 아닌가요?,"교육비납입증명서는 등록금납부확인서와 다릅니다. 등록금 납부확인서는 등록금을 납부하였다는 확인의 용도로 사용하는 것이고 교육비 납입 증명서는 세금공제의 목적으로 사용되는 것으로 용도의 차이가 있습니다.

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,학기초과자가 아니어도 학점 당 등록금 납부가 가능한가요?,"불가능합니다. 정규 학기 동안에는 이수학점에 관계없이 등록금 전액 납부입니다.

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,재입학생이면서 학기초과자면 등록금을 언제 납부해야 하나요?,"재입학생은 본등록기간에 납부하는 것이 맞지만, 학기초과자의 경우에는 수강과목이 확정된 이후인 추가등록기간에 납부하면 됩니다.

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,등록금을 빨리 낼 수 있나요?,"등록기간에만 가상계좌가 열리기 때문에 등록기간이 아닌 기간에는 입금이 되지 않습니다.

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,등록기간을 준수하지 못할 것 같아요. 며칠 늦게 내도 되나요?,"본등록기간을 놓치게 되면 추가등록기간이 있습니다. 그렇지만 추가등록기간 이후에는 더 이상의 추가등록은 없습니다. 그러므로 반드시 추가등록기간에는 등록을 하여야 합니다. 분할납부 신청자의 경우는 분할납부 기간 미 준수 시 다음 학기 분할납부신청이 불가합니다.

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,등록금 납부는 몇 시 까지 가능한가요?,"등록 마지막일 오후 11시 59분까지 가상계좌는 열려있어 등록 가능하나 간혹 타행 인터넷 뱅킹의 경우 해당 은행에서 시간제한을 두기도 하기 때문에 미리 확인이 필요합니다. (단, 등록시간은 등록에　따라 변경될 수 있으니, 등록 안내문을 참고해 주시기 바랍니다.)

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,본등록기간에 등록하지 못해 추가등록기간에 등록하면 어떤 불이익이 있나요?,"추가등록기간에 등록하게 되어도 불이익은 전혀 없지만, 기간이 길지 않으므로 유의하여야 합니다. 단, 분할납부 신청자는 1차 납부기간인 본등록기간 내 납부를 준수하지 않으면 분할납부 신청이 취소되고 추가등록기간에 등록금 전액을 납부 하여야 합니다.

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,등록금 납부가능은행은 어디인가요? 꼭 우리은행에서 내야 하나요?,"우리은행 및 모든 1차 금융기관에서 납부가능하며, 고지서의 개인별 가상계좌로 송금하면 등록이 완료됩니다. (단, 우리은행 외 타행 이용 시 송금수수료가 부과될 수 있습니다.)

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,학생과 등록금을 송금하는 사람 이름이 다른데 어떻게 하나요?,"학생별로 다른 가상계좌를 부여하여 고유의 가상계좌로 학생을 인식하므로 송금인은 타인이어도 무방합니다.

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,등록금을 적게 송금했는데 어떻게 해야 하나요?,"등록 가상계좌는 등록기간과 등록금액이 정확하게 일치하여야만 입금이 되기 때문에 적거나 많게 송금하였을 경우 송금이 취소 혹은 거절되어 있을 것입니다. 그러므로 등록기간 내에 등록금액을 정확하게 재입금하면 됩니다.

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,"학사포탈에 있는 계좌로 넣었는데, 등록금이 미납으로 나오네요?","반드시 고지서 출력화면에 있는 가상계좌로 입금하여야 합니다. 학사포탈 학적정보에 있는 본인의 학생증 연결계좌로 송금한 것이 아닌지 확인 바랍니다.

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,가상계좌로 입금이 안 되는 이유가 뭔가요?,"납부 가능한 기간인지, 계좌번호와 금액이 정확한지 확인해봅니다. 일일이체한도를 넘었는지 또는 제2금융권에서 송금하고 있는지를 확인해보고 그렇다면 입출금 가능한 제1금융권 통장으로 이체한 후 송금해야합니다. 등록금 고지서를 출력한 이후 장학 혹은 감면을 받게 되면 금액이 다르게 되어 입금이 되지 않을 수 있습니다. 이때는 한 번 더 금액을 정확히 확인하고 입금하면 됩니다.

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,학기초과자의 등록금은 어떻게 되나요?,"학부
1~3학점 : 1/6납부
4~6학점 : 1/3납부
7~9학점 : 1/2납부
10학점이상 : 전액납부
0학점(P/NP 과목 수강자) : 2011학년도 기준으로 341,600원 (단, 금액은 변동될 수 있음)

대학원(전문·특수대학원포함)
1~3학점 : 1/3납부
4~6학점 : 2/3납부
7학점이상 : 전액납부
신청학점이 없는 연구지도 신청자 : 1/8납부
일반대학원 연구과정생 : 1/2납부
전문특수대학원의 연구과정생 : 전액납부

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,교환학생을 가는데 등록금은 어디에 납부하나요?,"교환학생으로 파견되어 있는 동안 학생들은 등록금을 본교에 납부하고, 수업은 파견이 되어있는 상대교에서 듣게 됩니다. 교환학생과 관련한 자세한 사항은 국제지원팀에 문의 바랍니다.

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,방문학생을 가는데 등록금은 어디에 납부하나요?,"본교와 파견대학 두 곳에 모두 등록금을 납부해야합니다. 파견 장려를 위해 본교 등록금의 일부를 VSP장학금으로 지급받고 파견대학에는 일반학생보다 저렴한 수업료를 납부하게 됩니다. 교환학생과 관련한 자세한 사항은 국제지원팀에 문의 바랍니다.

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,카드납부는 어디서 하나요?,"우리카드 홈페이지 http://card.wooribank.com/ 접속 → 화면상단 [금융서비스] → 납부서비스 → 대학등록금 납부 페이지에서 신청하면 됩니다. 혹은 우리은행에 방문하여 직접 납부할 수도 있습니다. 은행 방문 납부의 경우 납부기간 마지막 날의 오후 4시 이전에 납부하여야 하며, 카드 미소지자의 경우 카드발급에 시간이 소요되므로 그 전날 오후 4시 까지는 신청하여야 합니다.

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,신용카드 할부 수수료는 어떻게 되나요?,"할부로 카드납부 시 할부 수수료는 학생 부담으로 최장 6개월, 단일 요율 9.8%입니다.

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,우리카드만 등록금 납부가 가능하나요?,"현재는 우리카드로만 납부가 가능합니다.

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,카드한도가 부족하다고 나와요!,"인터넷 납부자일 경우 특별 한도 승인란을 체크하면 특별한도승인대상일 경우 자동으로 승인처리가 됩니다. 우리은행 지점에 방문한 경우에는 창구직원에게 특별한도승인 가능여부를 확인 바랍니다.

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,카드로 등록금을 납부했는데 수납확인은 언제 할 수 있나요?,"학사포탈시스템에서의 수납확인은 납부 후 1시간 이후부터 가능합니다. 카드 승인 SMS가 발송되오니 참고 바랍니다.

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,등록금 카드 납부 시 현금과 나누어 납부할 수 있나요?,"현재 등록금 카드 납부는 전액결제 시에만 가능합니다. 그러므로 현금과 나누어 납부할 수 없습니다.

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,부모님 명의 또는 형제자매의 명의로 된 신용카드로 등록금납부가 가능한가요?,"네 가능합니다. 단, 법인카드로 등록금납부는 불가능합니다.

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,분할납부는 어디에서 신청하나요?,"학사포탈시스템(http://portal.yonsei.ac.kr) → 주요학사서비스 → 학부/대학원 등록금 납부 → 로그인 → 등록 → 분할납부 신청/변경

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,분할납부가 잘 신청되었는지 어디에서 확인할 수 있나요?,"분할납부가 신청되었을 경우 학사포탈시스템(http://portal.yonsei.ac.kr) → 주요학사서비스 → 학부/대학원 등록금 납부 → 로그인 → 등록 → 조회/등록 페이지에 가면 분할납부신청일에 신청한 일자가 표시되게 됩니다. 또한, 분할납부를 신청하게 되면 등록금이 분할된 금액으로 등록금고지서에 출력됩니다.

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,분할납부 신청　취소는 어디에서 하나요?　신청기간 이후에도 취소할 수 있나요?,"네, 신청기간 이내에는 분할납부를 신청한 방법대로 학사포탈시스템의 분할납부 신청/변경 페이지로 접속하여 하단의 취소버튼을 이용하여 취소할 수 있습니다. 신청기간 이후에는 학사포탈시스템을 이용한 취소는 불가하며, 재무회계팀(2123-4500)으로 직접 연락하시어 취소하실 수 있습니다.

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,장학금 받거나 학기초과자인데도 분할납부가 가능한가요?,"장학금 수혜자 및 학기초과자도 모두 분할납부가 가능합니다. 하지만 장학금 반액 수혜 시 2회 분할납부를 신청하면 분할납부를 신청한 의미가 없게 됩니다. 그러므로 반액장학금을 받게 되면 분할납부 4회 신청을 하면 됩니다. 학기초과자의 경우도 마찬가지입니다.

그 외의 분할납부 불가대상은 아래와 같습니다.
1. 해당 학기 신입생, 편입생과 재입학생의 첫 학기
2. 정부학자금대출 신청자
3. 신청학점 없는 연구지도 신청자 (등록금1/8납부이므로 의미 없음)

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,분할 납부 시 신용카드로 납부가 가능한가요?,"신용카드 납부는 등록금 전액일 경우에만 가능합니다. 그러므로 분할 납부의 경우에는 신용카드로 납부할 수 없습니다.

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,이번 학기 복학예정자입니다. 분할납부 신청 가능한가요?,"복학예정자는 복학신청 이전이라도 분할납부를 원할 경우 미리 신청이 가능합니다. 2011-2학기부터 복학신청자를 위한 분할납부 신청기간(매학기 3월 초, 9월 초)을 별도로 두었으니, 참고 바랍니다.

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,분할납부 신청을 했더니 고지서가 분할된 금액으로 나와요. 전액이 나오는 고지서를 받으려면 어떻게 해야 하나요?,"분할납부 신청기간 내에는 분할납부를 취소하고 고지서를 출력하시면 전액고지서를 인쇄할 수 있습니다. 그 이후에 다시 분할납부신청을 하면 됩니다. 가급적 분할납부 신청기간 내 전액 고지서를 인쇄하고 기간이 지나면 재무·회계팀으로 연락 바랍니다.

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,분할납부 시에 이자가 적용되나요?,"분할납부 시 신청비용이나 이자는 없습니다.

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,분할납부 하고 있는 중에 분할납부를 취소하고 전액을 다 납부 할 수 있나요?,"분할납부 하고 있는 중에 분할납부 취소는 불가합니다. 신청한 날짜에 맞추어 납부해 주시기 바랍니다. 부득이한 사정의 경우에는 재무·회계팀으로 연락 바랍니다.

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,학자금 대출 신청은 어디에서 하나요?,"한국장학재단 홈페이지 (http://www.kosaf.go.kr/) 에서 공인인증서를 이용하여 대출을 신청할 수 있습니다. 대출신청은 대출심사 소요기간(대출승인까지 약 5~7일소요)을 고려하여 미리 신청하는 것이 좋습니다.

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,학자금 대출 신청은 언제 할 수 있나요?,"학자금 대출 신청은 보통 학기가 시작하기 1~2개월 이전부터 할 수 있습니다. 단, 대출신청과 지급신청은 별도이므로 대출신청이 승인된 이후 등록기간에 지급신청을 별도로 하여야 합니다.

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,학자금 대출에 나이 제한이 있나요?,"든든학자금 대출은 만35세 이하(대출신청일 기준), 일반학자금 대출은 만 55세 이하(대출신청일기준)입니다. 생활비대출도 동일합니다. (단, 학부2학년 이하의 경우 든든학자금 조건을 충족하는 만36세 이상 일반학자금 대출자의 경우는 생활비 대출 가능)

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,학자금 대출시 신입생의 경우 내신과 수능성적 중 어떤 것을 적용하나요?,"해당 학생에게 유리한 성적으로 적용합니다.

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,이번이 졸업학기인 학생입니다. 직전학기 이수학점이 12학점 미만인데 학자금 대출을 받을 수 있나요?,"졸업학기 학생, 신입생군, 대학원생, 장애인의 경우 직전학기 12학점 미만이라도 대출 가능합니다.(단, 이수학점 이외의 조건은 충족하셔야 합니다.)

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,학자금 대출을 신청하면 어떤 계좌로 입금되나요?,"등록금은 학교 수납계좌로 입금되며, 생활비는 학생 개인계좌로 입금됩니다. (단, 기등록자의 경우에는 등록금 및 생활비 모두 학생계좌로 입금됩니다.)

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,등록금의 일부만 대출 받고 싶은데 가능한가요?,"가능합니다. 대출 실행 시 대출조건 입력 단계에서 [본인납부가능금액]에 본인이 부담할 금액을 입력하면, 본인 부담액을 학생계좌에서 인출한 뒤 대출금액과 합해 학교계좌로 입금하게 됩니다. (단, 학생 본인의 계좌에 잔고가 부족할 경우 에러가 발생하므로 실행 전 잔고를 확인하여야 합니다.)

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,신입생 기등록 대출이 어떤 것인가요? 재학생도 되나요?,"신입생 기등록 대출은 신입생이 학자금 대출기간 이전에 등록금을 납부해야 하는 경우 미리 등록금을 납부한 사람들에 한해 등록금을 대출해주는 제도를 말합니다. 즉, 신입생은 대학등록기간이 한국장학재단에서 지원하는 학자금대출신청기간보다 빠를 수 있기 때문에 운영하는 제도입니다. 그러므로 재학생은 기등록 대출을 할 수 없습니다. 단, 생활비 대출 신청은 가능합니다. 신입생의 기등록 대출 기간은 한국장학재단 학자금 대출 기간과 동일합니다.

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,학자금대출에 대해서 전화로 문의하고 싶어요.,"한국장학재단 고객센터 T.02-1666-5114 로 문의하면 됩니다.

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,등록금의 반환은 어떤 기준으로 이뤄지나요?,"학기 개시 후 14일 이내 : 전액반환
학기 개시 후 15일~30일 : 5/6반환
학기 개시 후 31일~60일: 2/3반환
학기 개시 후 61일~90일: 1/2반환
학기 개시 후 91일 이후 : 반환없음

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,수강철회 하여도 반환이 되나요?,"학기초과자가 아닌 학생의 경우, 이수학점에 관계없이 등록금 전액 납부입니다. 또한, 학기초과자라 하더라도 신청변경기간 이후에 수강철회한 부분에 대하여는 반환이 불가합니다.

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,신입생 예치금 차액은 언제 어떻게 받나요?,"해당되는 학생은 학생증 연결계좌로 3월 중순 이후에 입금됩니다.

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,이번학기 대학원 신입생인데 입학포기원을 대학원 행정팀에 제출했어요. 언제 등록금이 반환되나요? 반환기준은 어떻게 되나요?,"해당 대학원 행정팀에서 재무·회계팀으로 공문을 보내어 반환요청을 하게 되는데 공문이 도착하고 나서 2주일 이내에 반환처리가 됩니다. 반환은 개강 전까지는 입학금 포함하여 모두 반환되고 학기 개시 후 14일 이내에는 입학금 제외한 금액 전액이 반환됩니다. 그 이후에는 반환기준일에 따라 반환율이 달라집니다.

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,이번 학기 대학원 신입생인데 입학포기를 하고 싶은데 어떻게 하나요?,"해당 대학원 행정팀으로 문의 바랍니다.

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,학기 중 제적 처리되면 등록금 반환이 되나요?,"학기 중 제적 처리되면 등록금은 반환되지 않습니다.

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,휴학 등록금 반환은 언제 이루어지나요?,"휴학 신청 후 7일~10일 이내에 학사포탈에 등록된 계좌로 입금됩니다.

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,등록금을 미리 내고 휴학할 수 있나요?,"등록금 대체제도는 시행되고 있지 않습니다. 휴학하게 되면 등록금 반환 규정에 의하여 휴학기준일에 따라 등록금이 차등 반환됩니다.

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,등록금 반환 받는 계좌를 변경하고 싶은데 어떻게 해야 하나요?,"학사포탈시스템(http://portal.yonsei.ac.kr) 접속 → 주요학사관리 → 학부/대학원등록금 납부 → 로그인 → 등록 → 출력/등록 → 계좌번호변경 → 계좌번호 옆의 버튼 클릭 → 팝업창에서 계좌번호 칸에 변경할 계좌번호 입력 → 조회 → 확인 → 저장 순으로 변경하시면 됩니다.

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,앨범은 구입하지 않을 예정이라 앨범비를 내고 싶지 않아요.,"앨범비는 일단 납부하고 나서 학생지원팀(T.5121)에 졸업 이전에 환급신청하면 됩니다.

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,아직 졸업도 안하는데 벌써 졸업비 및 앨범비가 청구 되었어요!,"모든 재학생에게 7학기에 졸업비 및 앨범비를 청구하고 있으며 재학기간 중 단 한번만 내는 것이니 바로 졸업하지 않더라도 중복납부 하지는 않습니다. (단, 공과대학 건축학교육과정은 9학기에 납부하게 됩니다)

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,각종 자율경비를 납부하고 싶지 않아요!,"자율경비는 모든 재학생이 납부하는 것으로 자율경비를 포함한 전액이 입금되어야지만 등록이 가능합니다. 단, 전문특수대학원(단, 경영전문대학원 제외)의 원우회비의 경우에는 선택이 가능한 경우가 있습니다.

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,교환학생도 자율경비를 납부해야하나요?,"교환학생은 자율경비 면제이나 졸업비 및 앨범비는 납부대상입니다.

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,장학금을 받기로 했는데 고지서 출력하면 전액이 나와요.,"장학취업팀에 문의 바랍니다.

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,이공계장학금을 받을 예정인데 언제 고지가 되나요? 혹은 어떤 방법으로 받게 되나요?,"일반적으로 이공계장학금은 본등록기간 직전에 고지서에 반영되어 나옵니다. 그러므로 본등록이 시작할 때 고지서 재확인 바랍니다.

*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,연말정산용 교육비 납입증명서에 왜 장학금 받은 내역은 제외되나요?,"관계법령에 의거해서 장학금으로 인한 등록금은 공제대상에 포함되지 않습니다.


*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
등록,등록금 책정 관련 문의는 어디에서 하나요?,"등록금 책정은 예산팀에서 하며, 재무·회계팀은 등록금을 수납하는 부서입니다.


*부서 : 재무회계팀
*전화번호 : 02-2123-4500"
휴복학,동록금을 납부한 뒤 휴학을 하면 나중에 복학할 때 등록금을 납부하지 않아도 되나요?,"◆ 휴학하면 등록금이 휴학 시기에 따라 반환되는 것이 원칙이므로, 복학시 다시 납부하셔야 합니다. 즉, 등록금을 미리 예치할 수 없습니다.

부서: 교무처 학사지원팀
전화번호: 02-2123-2091, 2094~7"
휴복학,휴복학 일정 및 자세한 사항은 어디에서 확인할 수 있습니까?,"◆ 휴복학 신청기간은 2월초, 8월 초부터 시작됩니다. 자세한 일정은 매년 1월과 7월에 본교 홈페이지 첫화면 공지사항과 학사포탈시스템>휴복학>공지사항을 통해 공지하오니 해당 날짜 및 절차, 서류 등을 꼼꼼히 확인하시어 불이익이 없도록 하여 주십시오.

부서: 교무처 학사지원팀
전화번호: 02-2123-2091, 2094~7"
휴복학,전역 후 복학시 예비군 신고는 어떻게 해야하나요?,"◆ 학사포탈에서 복학신청시 관련사항을 입력하게 되어 있으므로, 정상적인 복학 절차를 밟을 경우 별도로 예비군 신고를 하지 않아도 됩니다 학교 예비군연대에서 복학생 자료를 받아 주소지 예비군 읍, 면, 동대에 전산으로 전입요청을 하므로 거주지 예비군 읍, 면, 동대와 학사포탈에 최신 연락망을 업데이트 해두시기 바랍니다.

*부서 : 예비군연대
*전화번호 : 02-2123-3686~9. 02-2123-8461"
휴복학,입대 휴학 중입니다. 입대 휴학으로 적용되는 기간은 언제까지인가요?,"◆ 전역일을 포함한 2개 학기 까지는 입대휴학으로 처리됩니다.
학기기준은 : • 1학기는 3. 1 ~ 8. 31 • 2학기는 9. 1 ~ 2. 28입니다
☞ 예1) 전역일이 2018년 3월~8월이라면 2018학년도 1학기 전역자에 해당
2018학년도 2학기도 입대휴학기간으로 간주되나 필요시 복학신청 가능
2019학년도 1학기에는 휴복학기간에 반드시 복학 또는 휴학(휴학기간이 남아있는 경우)
☞ 예2) 전역일이 2018년 9월~2019년 2월이라면 2018학년도 2학기 전역자에 해당
2019학년도 1학기도 입대휴학기간으로 간주되나 필요시 복학신청 가능
2019학년도 2학기에는 휴복학기간에 반드시 복학 또는 휴학(휴학기간이 남아있는 경우)

부서: 교무처 학사지원팀
전화번호: 02-2123-2091, 2094~7"
휴복학,휴학 승인이 났는데 더 이상 할 것이 없나요?,"◆ 승인이 나면 승인증을 출력하시어 꼭 읽어보시기 바랍니다.
* 휴학 중이어도 주소나 전화번호가 바뀌시면 반드시 포탈에 수정해 놓으시기 바랍니다.
* 학적 변동사항이 있을 시 미리 공지사항에서 휴복학 일정을 확인하시어 착오 없으시기 바랍니다.

부서: 교무처 학사지원팀
전화번호: 02-2123-2091, 2094~7"
휴복학,"일반휴학을 사용한 휴학학기 수의 확인은 어떻게 하나요? 그리고, 일반휴학을 계속해서 사용하고 싶은데 자동으로 되나요?","◆ 일반휴학 자동연장은 2008-2학기 신청 학생부터 적용됩니다. 2008-1학기 이전에 일반휴학한 학생이 휴학기간이 만료되어, 휴학을 연장하고자 할 경우 일반휴학을 다시 신청해야 합니다. - 휴학 만료기간 확인 : 학사포탈->학적->자료조회->학적변동 및 상벌 - 최대 휴학학기 확인 : 학사포탈->학적->자료조회->학생신상

부서: 교무처 학사지원팀
전화번호: 02-2123-2091, 2094~7"
